metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
62,3+kk,E,Ve velmi dobrém stavu,liberecky-kraj,4990000,https://www.sreality.cz/detail/prodej/byt/3+kk/jablonec-nad-nisou-jablonecke-paseky-pasecke-namesti/3071636044
68,2+kk,B,Novostavba,praha,10600082,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-ke-klicovu/3027149388
25,1+kk,G,V dobrém stavu,liberecky-kraj,2043311,https://www.sreality.cz/detail/prodej/byt/1+kk/korenov-korenov-/753795660
58,2+kk,B,Novostavba,praha,11205000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zabehlice-klapalkova/3388346956
92,3+kk,A,Novostavba,vysocina-kraj,7139000,https://www.sreality.cz/detail/prodej/byt/3+kk/jihlava-jihlava-okruzni/467477068
102,4+kk,B,Ve velmi dobrém stavu,praha,20996100,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nusle-v-horkach/1844212300
66,3+kk,B,Novostavba,karlovarsky-kraj,4965000,https://www.sreality.cz/detail/prodej/byt/3+kk/lazne-kynzvart-lazne-kynzvart-kralovske-svahy/3614577228
77,3+kk,A,Novostavba,praha,10890000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-troja-hnezdenska/3770417740
76,2+kk,G,Novostavba,praha,14990000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-/3368903244
95,3+kk,C,Ve velmi dobrém stavu,praha,18900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-belohorska/2897805900
67,3+kk,G,V dobrém stavu,stredocesky-kraj,10881150,https://www.sreality.cz/detail/prodej/byt/3+kk/pruhonice-pruhonice-na-sidlisti-iii/1778651724
68,2+kk,B,Novostavba,praha,10298759,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-pod-krocinkou/4178747980
68,3+kk,B,Novostavba,praha,11400000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-kurandove/2640065100
156,5+kk,B,Novostavba,praha,34271800,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-praha-vladimira-kobranova/2747655756
85,3+kk,C,V dobrém stavu,praha,12500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-brezenska/4016992844
136,3+kk,G,Ve velmi dobrém stavu,praha,19990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-ruzova/1536111180
47,2+kk,C,Novostavba,praha,8285200,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hostivar-prazska/1764934220
32,1+kk,C,Novostavba,praha,6394667,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-hostivar-prazska/3358769740
53,2+kk,B,Novostavba,stredocesky-kraj,7900000,https://www.sreality.cz/detail/prodej/byt/2+kk/jesenice-jesenice-rackova/2183754316
59,2+kk,B,Novostavba,stredocesky-kraj,7375000,https://www.sreality.cz/detail/prodej/byt/2+kk/jilove-u-prahy-jilove-u-prahy-/2794283596
42,2+kk,D,V dobrém stavu,plzensky-kraj,3900000,https://www.sreality.cz/detail/prodej/byt/2+kk/plzen-skvrnany-krimicka/2849727052
168,4+kk,B,Ve velmi dobrém stavu,praha,24000000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-modrany-na-srazku/2527003212
66,3+kk,A,Novostavba,jihomoravsky-kraj,10112000,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-komin-bystrcka/3375002188
127,4+kk,E,Ve velmi dobrém stavu,moravskoslezsky-kraj,7803650,https://www.sreality.cz/detail/prodej/byt/4+kk/opava-mesto-u-jaktarske-brany/293537100
50,2+kk,B,Novostavba,karlovarsky-kraj,3757500,https://www.sreality.cz/detail/prodej/byt/2+kk/lazne-kynzvart-lazne-kynzvart-kralovske-svahy/422974028
49,2+kk,G,Ve velmi dobrém stavu,liberecky-kraj,7990000,https://www.sreality.cz/detail/prodej/byt/2+kk/harrachov-harrachov-/393896524
57,3+kk,G,Ve velmi dobrém stavu,praha,8350000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-krc-olbrachtova/2536006220
76,4+kk,B,Novostavba,jihomoravsky-kraj,14190350,https://www.sreality.cz/detail/prodej/byt/4+kk/brno-pisarky-antonina-prochazky/1188848204
126,3+kk,G,Po rekonstrukci,praha,22000000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-francouzska/265028172
97,4+kk,G,Ve velmi dobrém stavu,pardubicky-kraj,4990000,https://www.sreality.cz/detail/prodej/byt/4+kk/usti-nad-orlici-usti-nad-orlici-/1974235724
